X,ND5,ND10,ND15,ND20,ND25,ND30,ND35,ND40,ND45,ND50,ND55
t1 d1 c0,60530,60547,60584,60486,60488,60497,60403,60439,60459,60470,60466
t1 d1 c1,82169,82115,82193,82098,82054,82133,82166,82068,82100,82138,82069
t1 d2 c0,82097,82159,82116,82127,82059,82115,82201,82113,82201,82161,82081
t1 d2 c1,95147,95151,95108,95097,95056,95055,95087,95098,95153,95086,95060
t1 d2 c2,104524,104456,104442,104487,104421,104445,104512,104446,104417,104510,104400
t1 d3 c0,95197,95114,95143,95101,95132,95128,95110,95154,95131,95107,95065
t1 d3 c1,104461,104571,104455,104425,104447,104497,104468,104430,104528,104440,104517
t1 d3 c2,111848,111908,111921,111887,111972,111800,111902,111874,111838,111904,111886
t1 d3 c3,118072,117990,118057,118031,117956,117914,117958,118100,118119,118003,118041
t1 d4 c0,104516,104398,104472,104436,104544,104501,104443,104464,104387,104508,104424
t1 d4 c1,111848,111845,111790,111894,111797,111783,111878,111872,111957,111830,111816
t1 d4 c2,118097,118008,118014,117982,117964,117987,118010,118051,117982,118056,118013
t1 d4 c3,123324,123328,123244,123263,123267,123364,123365,123352,123351,123292,123274
t1 d4 c4,127936,127895,127979,128011,127954,128030,127967,128019,127993,127985,127997
t1 d5 c0,111856,111922,111808,111856,111847,111839,111892,111777,111906,111812,111844
t1 d5 c1,117943,118087,117956,118040,117913,117948,117997,117988,117972,117999,118086
t1 d5 c2,123251,123298,123278,123306,123382,123312,123312,123299,123219,123255,123291
t1 d5 c3,127940,127967,127978,127977,127894,127965,127923,127996,127990,127910,128012
t1 d5 c4,132160,132084,132049,132174,132118,132157,132172,132201,132109,132175,132147
t1 d5 c5,135933,135849,135929,135929,135959,135886,135908,135946,135922,135841,135907
t1 d6 c0,117987,118025,118001,118074,118018,117995,117875,118063,117941,118012,118027
t1 d6 c1,123273,123305,123289,123368,123264,123408,123283,123251,123275,123392,123315
t1 d6 c2,128000,127999,127980,127992,127993,128001,128030,127927,127911,127973,127914
t1 d6 c3,132090,132130,132156,132190,132131,132132,132164,132179,132142,132163,132131
t1 d6 c4,135890,135988,135881,135863,135935,135934,135919,135880,135890,135907,135927
t1 d6 c5,139331,139322,139340,139388,139405,139311,139358,139294,139352,139344,139331
t1 d6 c6,142525,142453,142480,142486,142514,142494,142586,142414,142482,142438,142442
t1 d7 c0,123309,123288,123271,123357,123309,123293,123328,123448,123350,123326,123277
t1 d7 c1,127908,127950,127930,127955,127977,128008,127959,128039,127951,127966,127911
t1 d7 c2,132127,132162,132173,132157,132130,132168,132156,132142,132112,132162,132197
t1 d7 c3,135899,135810,135937,135989,135863,135944,135985,135946,135940,135944,135862
t1 d7 c4,139350,139308,139240,139312,139264,139272,139333,139355,139348,139328,139376
t1 d7 c5,142484,142499,142427,142503,142383,142445,142447,142473,142452,142515,142491
t1 d7 c6,145374,145307,145342,145353,145433,145312,145352,145389,145309,145405,145365
t1 d7 c7,148040,148064,148033,147989,148005,148034,148019,148058,147979,148043,147988
t2 d1 c0,82133,82091,82169,82079,82130,82176,82135,82111,82075,82137,82186
t2 d1 c1,120946,121015,121038,120979,121063,121010,121010,120994,121009,121046,121010
t2 d2 c0,120997,121086,121036,121029,120926,120838,121039,121039,120989,121081,121020
t2 d2 c1,151225,151152,151202,151153,151166,151206,151202,151204,151292,151227,151285
t2 d2 c2,171514,171616,171547,171604,171646,171578,171516,171467,171485,171492,171580
t2 d3 c0,151204,151274,151252,151176,151206,151226,151185,151256,151162,151119,151136
t2 d3 c1,171550,171507,171469,171474,171544,171622,171478,171573,171522,171533,171528
t2 d3 c2,186778,186801,186760,186838,186761,186709,186833,186782,186783,186761,186872
t2 d3 c3,199109,199041,199075,199089,199096,199107,199158,199016,199152,199075,199089
t2 d4 c0,171388,171544,171599,171630,171539,171548,171593,171438,171616,171482,171533
t2 d4 c1,186823,186778,186673,186743,186792,186843,186839,186812,186744,186786,186895
t2 d4 c2,199084,199130,199106,199098,199307,199144,199030,199078,199154,199130,199181
t2 d4 c3,209458,209523,209604,209605,209534,209516,209683,209583,209530,209470,209449
t2 d4 c4,218573,218592,218668,218558,218572,218572,218567,218581,218488,218665,218594
t2 d5 c0,186926,186794,186771,186842,186824,186748,186660,186773,186785,186800,186796
t2 d5 c1,199174,199218,199090,199180,199121,199082,199170,199156,199135,199149,199143
t2 d5 c2,209552,209445,209512,209578,209611,209413,209554,209548,209489,209586,209533
t2 d5 c3,218616,218675,218694,218633,218667,218542,218629,218603,218544,218687,218635
t2 d5 c4,226665,226726,226747,226791,226737,226846,226852,226660,226767,226870,226770
t2 d5 c5,234314,234276,234152,234131,234065,234172,234197,234130,234265,234275,234128
t2 d6 c0,199063,199123,199094,199059,199133,199173,199037,199153,199130,199115,199169
t2 d6 c1,209575,209476,209487,209521,209504,209544,209556,209542,209601,209432,209521
t2 d6 c2,218618,218647,218465,218583,218494,218628,218629,218616,218692,218716,218628
t2 d6 c3,226806,226785,226818,226749,226744,226753,226753,226670,226846,226794,226600
t2 d6 c4,234224,234043,234141,234195,234102,234156,234220,234185,234040,234150,234168
t2 d6 c5,241083,241018,240946,240951,240958,240960,241001,240937,240916,241075,240946
t2 d6 c6,247183,247261,247289,247226,247258,247408,247269,247358,247399,247423,247355
t2 d7 c0,209493,209513,209486,209576,209474,209613,209554,209461,209549,209508,209579
t2 d7 c1,218545,218469,218639,218562,218722,218628,218659,218610,218678,218488,218551
t2 d7 c2,226735,226746,226805,226788,226781,226725,226743,226860,226686,226788,226754
